transect_id,region,latitude,longitude,slope,storm_count,storm_energy,depth_of_closure,geomorphology,longshore_direction,true_probability,label
TRX-0240,Adriatic Central Coast (Abruzzo),42.4859,14.38849,9.09,15,339.1,15.31,sandy,divergent,0.8805,1
TRX-0241,California Central Coast,37.00189,-122.15825,4.34,9,283.5,13.8,riverbank,convergent,0.5231,1
TRX-0242,California Central Coast,36.96031,-121.92295,10.97,14,237.5,14.78,sandy,divergent,0.7925,1
TRX-0243,Tyrrhenian Bay (Campania),40.73281,14.18447,8.58,6,278.8,5.08,defence structure,transitional,0.6128,1
TRX-0244,California Central Coast,36.83178,-122.17042,3.4,24,227.5,12.05,dune,transitional,0.7387,1
TRX-0245,California Central Coast,36.93892,-121.99613,8.88,5,158.0,4.82,sandy,transitional,0.5784,1
TRX-0246,Ligurian Littoral,44.2545,9.15292,9.98,17,213.2,10.69,gravel,transitional,0.7034,1
TRX-0247,Outer Banks Transect,35.67015,-75.7366,9.12,1,359.7,12.92,dune,convergent,0.8467,1
TRX-0248,Ligurian Littoral,44.31557,9.1493,5.79,15,112.7,9.77,sandy,transitional,0.4394,0
TRX-0249,California Central Coast,36.91867,-121.97878,11.13,15,256.9,9.55,dune,convergent,0.872,1
TRX-0250,Tyrrhenian Bay (Campania),40.8732,14.34985,7.08,12,150.4,10.45,sandy,divergent,0.3603,0
TRX-0251,Outer Banks Transect,35.82909,-75.56661,7.67,12,160.8,10.45,sandy,transitional,0.5734,1
TRX-0252,Tyrrhenian Bay (Campania),40.90163,14.20396,3.59,4,93.2,13.51,gravel,transitional,0.0599,0
TRX-0253,Ligurian Littoral,44.32244,9.17691,6.49,18,297.4,12.89,defence structure,transitional,0.642,1
TRX-0254,Outer Banks Transect,35.9026,-75.56418,10.93,1,213.8,7.04,gravel,transitional,0.5645,1
TRX-0255,Gold Coast Spit,-27.97726,153.41752,9.11,15,215.5,5.57,sandy,divergent,0.811,1
TRX-0256,North Sea Barrier Island,53.40046,7.1872,9.49,25,218.1,11.14,dune,convergent,0.8692,1
TRX-0257,Outer Banks Transect,35.81261,-75.52296,9.69,15,238.5,17.37,sandy,divergent,0.7279,1
TRX-0258,Adriatic Central Coast (Abruzzo),42.33492,14.35457,10.36,15,366.1,6.03,riverbank,convergent,0.9578,1
TRX-0259,Outer Banks Transect,35.90831,-75.56692,5.81,20,75.7,7.19,sandy,convergent,0.4434,0
TRX-0260,Ligurian Littoral,44.2471,9.26122,4.19,9,401.0,11.19,defence structure,divergent,0.6682,1
TRX-0261,Ligurian Littoral,44.43883,9.28571,11.55,9,366.8,6.15,riverbank,convergent,0.9636,1
TRX-0262,California Central Coast,36.94684,-122.02677,3.94,14,170.1,5.48,riverbank,divergent,0.4139,0
TRX-0263,California Central Coast,36.95468,-122.11653,11.76,12,201.9,10.84,dune,divergent,0.7856,1
TRX-0264,Gold Coast Spit,-27.90955,153.47919,10.75,26,233.8,7.33,gravel,convergent,0.8728,1
TRX-0265,North Sea Barrier Island,53.44686,7.13508,7.2,5,246.5,10.81,sandy,transitional,0.5943,1
TRX-0266,Gold Coast Spit,-28.09512,153.54883,2.65,15,20.3,16.95,sandy,transitional,0.1537,0
TRX-0267,Ligurian Littoral,44.41464,9.14056,11.03,9,57.3,9.19,sandy,transitional,0.4175,0
TRX-0268,North Sea Barrier Island,53.5678,7.27657,5.82,3,301.5,4.51,gravel,convergent,0.5343,1
TRX-0269,Ionian Barrier Spit,39.50583,16.48352,0.89,11,346.8,17.35,gravel,convergent,0.3816,0
TRX-0270,Tyrrhenian Bay (Campania),40.73096,14.22027,4.3,13,329.4,14.29,sandy,divergent,0.6715,1
TRX-0271,Ligurian Littoral,44.17052,9.21899,7.94,6,196.0,13.89,dune,convergent,0.2917,0
TRX-0272,Ionian Barrier Spit,39.37601,16.38014,9.6,19,312.0,9.07,gravel,divergent,0.9426,1
TRX-0273,Ionian Barrier Spit,39.43309,16.37527,7.27,20,308.5,8.2,defence structure,convergent,0.8643,1
TRX-0274,Ionian Barrier Spit,39.50532,16.50286,9.55,10,278.5,14.69,riverbank,convergent,0.5939,1
TRX-0275,California Central Coast,36.83382,-122.05013,7.75,17,375.5,4.66,sandy,transitional,0.9243,1
TRX-0276,California Central Coast,36.90962,-121.99512,9.72,25,49.2,12.14,sandy,convergent,0.6603,1
TRX-0277,Adriatic Central Coast (Abruzzo),42.4846,14.36939,4.15,23,220.4,9.9,dune,convergent,0.5502,1
TRX-0278,North Sea Barrier Island,53.37508,7.07371,11.57,26,82.2,8.75,dune,divergent,0.7833,1
TRX-0279,Tyrrhenian Bay (Campania),40.79305,14.24125,11.96,8,43.2,5.62,gravel,transitional,0.3597,0
TRX-0280,Ligurian Littoral,44.18583,9.26237,9.01,6,218.6,9.01,gravel,divergent,0.5323,1
TRX-0281,North Sea Barrier Island,53.40009,7.08808,9.94,9,313.2,6.03,riverbank,transitional,0.8738,1
TRX-0282,North Sea Barrier Island,53.5637,7.223,1.7,15,224.3,5.22,riverbank,convergent,0.5712,1
TRX-0283,Ligurian Littoral,44.22653,9.08087,7.51,24,66.1,14.13,sandy,divergent,0.5633,1
TRX-0284,Outer Banks Transect,35.76489,-75.70497,11.69,28,34.1,14.94,dune,transitional,0.6502,1
TRX-0285,Ionian Barrier Spit,39.44654,16.47488,9.23,9,350.4,11.93,sandy,transitional,0.9136,1
TRX-0286,Adriatic Central Coast (Abruzzo),42.48622,14.27068,6.24,10,329.4,8.54,sandy,transitional,0.7909,1
TRX-0287,Outer Banks Transect,35.7102,-75.58086,4.36,20,117.0,9.29,defence structure,divergent,0.443,0
TRX-0288,Ionian Barrier Spit,39.39517,16.62972,1.08,18,158.6,15.41,riverbank,divergent,0.2284,0
TRX-0289,Adriatic Central Coast (Abruzzo),42.42768,14.36288,9.44,10,61.6,11.39,sandy,transitional,0.6368,1
TRX-0290,North Sea Barrier Island,53.37791,7.32638,11.3,17,185.2,16.14,gravel,divergent,0.7033,1
TRX-0291,Tyrrhenian Bay (Campania),40.85163,14.30116,5.41,19,247.1,10.15,defence structure,convergent,0.5502,1
TRX-0292,California Central Coast,37.01022,-121.97939,4.52,9,113.4,16.77,sandy,divergent,0.2891,0
TRX-0293,Tyrrhenian Bay (Campania),40.74662,14.15931,6.25,14,68.3,9.16,dune,transitional,0.2587,0
TRX-0294,Tyrrhenian Bay (Campania),40.74728,14.31582,10.47,23,261.3,7.3,riverbank,convergent,0.9321,1
TRX-0295,Ionian Barrier Spit,39.64052,16.46887,1.37,10,124.1,17.38,sandy,transitional,0.0979,0
TRX-0296,Ionian Barrier Spit,39.37842,16.38057,10.09,4,24.8,15.29,defence structure,convergent,0.1288,0
TRX-0297,California Central Coast,36.91167,-122.01091,8.34,19,254.4,16.43,sandy,divergent,0.8025,1
TRX-0298,Ligurian Littoral,44.17759,9.30418,10.26,4,37.1,10.49,sandy,transitional,0.3863,0
TRX-0299,California Central Coast,36.94884,-122.08518,5.79,12,105.9,6.93,sandy,divergent,0.5947,1
TRX-0300,Ionian Barrier Spit,39.54418,16.49967,11.13,16,44.4,8.14,sandy,convergent,0.543,1
TRX-0301,Ionian Barrier Spit,39.53923,16.59065,10.1,13,332.8,9.17,gravel,transitional,0.9381,1
TRX-0302,California Central Coast,36.88113,-122.19218,7.79,1,378.3,14.62,sandy,divergent,0.7449,1
TRX-0303,Outer Banks Transect,35.88005,-75.45012,12.2,4,119.1,7.63,gravel,divergent,0.4531,0
TRX-0304,Ionian Barrier Spit,39.52271,16.6448,5.34,27,416.6,6.76,sandy,transitional,0.9112,1
TRX-0305,Outer Banks Transect,35.92419,-75.74154,9.0,19,245.4,11.82,sandy,divergent,0.8752,1
TRX-0306,North Sea Barrier Island,53.40267,7.06139,1.46,20,107.5,11.34,sandy,divergent,0.3321,0
TRX-0307,Ionian Barrier Spit,39.59193,16.45223,2.88,26,357.7,8.71,sandy,transitional,0.9081,1
TRX-0308,Outer Banks Transect,35.93817,-75.63792,11.82,13,254.4,8.88,sandy,divergent,0.8699,1
TRX-0309,California Central Coast,37.03755,-121.9118,8.4,6,302.9,11.81,riverbank,transitional,0.6791,1
TRX-0310,Ligurian Littoral,44.26352,9.2702,4.25,6,311.5,16.83,defence structure,transitional,0.3837,0
TRX-0311,Adriatic Central Coast (Abruzzo),42.25462,14.34547,10.26,20,108.4,11.85,defence structure,convergent,0.4592,0
TRX-0312,Outer Banks Transect,35.70037,-75.4844,1.84,23,288.0,13.98,sandy,convergent,0.536,1
TRX-0313,Ionian Barrier Spit,39.42486,16.37034,3.8,4,308.2,5.13,gravel,transitional,0.5457,1
TRX-0314,California Central Coast,36.90537,-122.0874,10.5,26,365.6,12.96,dune,convergent,0.9835,1
TRX-0315,Tyrrhenian Bay (Campania),40.93976,14.12002,1.03,9,400.7,5.46,sandy,transitional,0.6932,1
TRX-0316,Tyrrhenian Bay (Campania),40.80139,14.40558,11.25,23,32.4,16.75,sandy,divergent,0.425,0
TRX-0317,Ligurian Littoral,44.16607,9.14933,12.2,14,298.9,13.89,dune,convergent,0.9137,1
TRX-0318,Adriatic Central Coast (Abruzzo),42.31787,14.4149,6.54,2,164.3,10.06,sandy,transitional,0.3806,0
TRX-0319,Gold Coast Spit,-28.0401,153.27772,2.8,10,410.8,10.66,sandy,divergent,0.5558,1
TRX-0320,North Sea Barrier Island,53.37734,7.21324,2.96,13,167.8,10.3,sandy,transitional,0.4289,0
TRX-0321,Ionian Barrier Spit,39.60112,16.51927,2.57,23,287.0,5.61,sandy,transitional,0.8572,1
TRX-0322,Adriatic Central Coast (Abruzzo),42.45224,14.49552,5.7,18,294.8,16.67,dune,convergent,0.6284,1
TRX-0323,North Sea Barrier Island,53.37369,7.32083,9.16,17,248.5,11.22,dune,divergent,0.9008,1
TRX-0324,Gold Coast Spit,-28.04814,153.56531,12.17,26,97.1,5.05,sandy,transitional,0.9111,1
TRX-0325,Ionian Barrier Spit,39.64918,16.53817,10.56,9,147.9,13.95,riverbank,convergent,0.3153,0
TRX-0326,North Sea Barrier Island,53.50591,7.32515,0.94,23,269.2,11.29,gravel,transitional,0.5212,1
TRX-0327,Ligurian Littoral,44.31998,9.2248,12.09,4,390.0,11.81,sandy,convergent,0.9488,1
TRX-0328,California Central Coast,36.87924,-122.00356,7.49,16,35.0,8.08,sandy,transitional,0.4152,0
TRX-0329,California Central Coast,36.81163,-121.93313,4.68,8,39.7,10.68,sandy,transitional,0.1554,0
TRX-0330,North Sea Barrier Island,53.4341,7.19749,8.95,4,409.0,7.46,sandy,divergent,0.968,1
TRX-0331,Outer Banks Transect,35.73083,-75.62497,8.35,7,196.7,16.37,gravel,transitional,0.26,0
TRX-0332,Adriatic Central Coast (Abruzzo),42.35458,14.29769,4.44,17,181.4,14.65,gravel,transitional,0.3593,0
TRX-0333,Ligurian Littoral,44.20783,9.29988,10.59,8,33.2,5.16,sandy,convergent,0.3417,0
TRX-0334,California Central Coast,36.99062,-122.16284,1.16,12,215.5,10.3,defence structure,transitional,0.3481,0
TRX-0335,Outer Banks Transect,35.75327,-75.4987,3.83,27,295.5,8.21,gravel,convergent,0.575,1
TRX-0336,Ionian Barrier Spit,39.54421,16.55331,3.95,14,225.3,15.74,defence structure,transitional,0.2325,0
TRX-0337,Gold Coast Spit,-27.82655,153.46421,7.83,1,109.5,12.41,defence structure,divergent,0.1711,0
TRX-0338,California Central Coast,37.05548,-122.0623,3.35,10,290.9,15.22,gravel,convergent,0.27,0
TRX-0339,Outer Banks Transect,35.81844,-75.57187,4.11,22,63.2,5.33,defence structure,transitional,0.4504,0
TRX-0340,North Sea Barrier Island,53.40651,7.20519,3.61,2,342.2,14.93,dune,transitional,0.3643,0
TRX-0341,Ligurian Littoral,44.36638,9.24662,12.47,9,382.8,9.76,dune,transitional,0.9907,1
TRX-0342,Outer Banks Transect,35.86796,-75.68329,7.06,26,210.3,16.73,sandy,transitional,0.697,1
TRX-0343,Ligurian Littoral,44.40219,9.31295,2.92,4,208.3,14.13,dune,transitional,0.4191,0
TRX-0344,Outer Banks Transect,35.84633,-75.68332,3.41,28,142.8,14.75,sandy,convergent,0.3916,0
TRX-0345,North Sea Barrier Island,53.48913,7.08533,1.43,21,253.4,16.78,sandy,divergent,0.3535,0
TRX-0346,California Central Coast,36.95895,-122.07607,10.99,5,74.9,7.1,gravel,transitional,0.3537,0
TRX-0347,Gold Coast Spit,-28.05703,153.52872,2.91,3,215.0,12.7,sandy,transitional,0.3205,0
TRX-0348,Ligurian Littoral,44.32288,9.09753,9.99,25,55.2,12.49,dune,transitional,0.627,1
TRX-0349,Gold Coast Spit,-27.98501,153.28132,3.13,12,400.0,16.1,dune,transitional,0.6415,1
TRX-0350,Ionian Barrier Spit,39.41788,16.6131,4.45,4,173.4,12.15,sandy,divergent,0.3052,0
TRX-0351,North Sea Barrier Island,53.63454,7.18678,6.89,17,155.1,16.04,defence structure,transitional,0.4016,0
TRX-0352,Ionian Barrier Spit,39.39947,16.62207,10.3,1,111.4,13.95,sandy,divergent,0.267,0
TRX-0353,Ligurian Littoral,44.18695,9.26333,10.07,13,370.6,7.83,gravel,convergent,0.9647,1
TRX-0354,Adriatic Central Coast (Abruzzo),42.21447,14.28474,6.0,4,238.9,10.67,sandy,transitional,0.4591,0
TRX-0355,Adriatic Central Coast (Abruzzo),42.29033,14.4485,8.55,9,269.1,13.61,gravel,divergent,0.5424,1
TRX-0356,North Sea Barrier Island,53.3842,7.08188,3.12,7,331.2,15.31,defence structure,transitional,0.3217,0
TRX-0357,California Central Coast,36.88861,-122.18818,6.61,7,295.3,10.75,sandy,convergent,0.6566,1
TRX-0358,Gold Coast Spit,-28.05526,153.29702,6.79,24,309.4,16.26,dune,transitional,0.8534,1
TRX-0359,North Sea Barrier Island,53.42924,7.06502,10.31,28,35.8,8.28,riverbank,transitional,0.705,1
TRX-0360,Adriatic Central Coast (Abruzzo),42.2029,14.29152,8.37,11,163.0,10.19,dune,divergent,0.5406,1
TRX-0361,Tyrrhenian Bay (Campania),40.81179,14.21282,2.13,13,404.9,8.03,gravel,divergent,0.7475,1
TRX-0362,Ligurian Littoral,44.18392,9.25885,1.49,28,83.8,9.91,dune,divergent,0.4241,0
TRX-0363,Gold Coast Spit,-28.04562,153.38393,5.0,1,365.0,15.94,dune,divergent,0.4215,0
TRX-0364,California Central Coast,36.93221,-122.181,8.46,1,301.8,13.31,dune,transitional,0.6785,1
TRX-0365,Ionian Barrier Spit,39.64337,16.55095,4.76,17,295.3,12.54,gravel,divergent,0.5093,1
TRX-0366,California Central Coast,36.8446,-121.95207,11.24,20,41.8,12.86,sandy,divergent,0.587,1
TRX-0367,Gold Coast Spit,-27.83918,153.29246,6.55,8,152.4,8.12,gravel,transitional,0.2636,0
TRX-0368,Tyrrhenian Bay (Campania),40.83773,14.35038,6.04,28,219.4,8.61,defence structure,divergent,0.8397,1
TRX-0369,Adriatic Central Coast (Abruzzo),42.23079,14.3737,7.32,1,350.4,14.79,defence structure,transitional,0.6295,1
TRX-0370,Gold Coast Spit,-27.81489,153.379,1.44,8,357.7,8.82,dune,transitional,0.5234,1
TRX-0371,Outer Banks Transect,35.86477,-75.71579,9.68,8,20.9,9.12,dune,divergent,0.3033,0
TRX-0372,Tyrrhenian Bay (Campania),40.71373,14.15925,2.44,23,317.0,9.82,sandy,convergent,0.7085,1
TRX-0373,Tyrrhenian Bay (Campania),40.97906,14.22787,6.15,26,96.2,8.89,dune,convergent,0.527,1
TRX-0374,Tyrrhenian Bay (Campania),40.93164,14.24515,8.5,17,73.9,10.98,gravel,convergent,0.2777,0
TRX-0375,California Central Coast,37.05164,-122.05512,6.75,6,296.7,6.76,riverbank,convergent,0.6249,1
TRX-0376,Outer Banks Transect,35.80123,-75.6346,12.26,23,324.9,8.06,defence structure,divergent,0.965,1
TRX-0377,Gold Coast Spit,-27.85856,153.31145,7.85,24,224.9,15.46,gravel,transitional,0.6765,1
TRX-0378,Ionian Barrier Spit,39.41027,16.53725,4.2,12,388.5,6.22,dune,divergent,0.7527,1
TRX-0379,Ligurian Littoral,44.30117,9.25829,4.57,4,324.3,11.81,dune,divergent,0.5216,1
TRX-0380,North Sea Barrier Island,53.61324,7.17672,0.95,4,30.1,6.39,dune,convergent,0.0793,0
TRX-0381,Ligurian Littoral,44.44506,9.25502,2.51,2,296.2,8.34,dune,convergent,0.4127,0
TRX-0382,Ionian Barrier Spit,39.57272,16.51838,3.58,26,338.7,13.55,dune,convergent,0.7488,1
TRX-0383,California Central Coast,36.91627,-121.91299,12.22,11,406.3,5.2,dune,convergent,0.994,1
TRX-0384,Gold Coast Spit,-27.851,153.54345,9.04,21,167.1,12.15,dune,convergent,0.5342,1
TRX-0385,Ionian Barrier Spit,39.43825,16.40323,8.79,6,405.0,14.06,sandy,convergent,0.8811,1
TRX-0386,Ligurian Littoral,44.3252,9.1265,4.67,23,395.0,5.02,defence structure,transitional,0.8943,1
TRX-0387,North Sea Barrier Island,53.49717,7.2218,4.99,26,303.1,11.33,defence structure,transitional,0.7554,1
TRX-0388,California Central Coast,36.82758,-122.13364,3.3,11,152.4,8.32,defence structure,transitional,0.2419,0
TRX-0389,Gold Coast Spit,-27.80101,153.51711,12.28,1,65.9,9.0,sandy,transitional,0.4083,0
TRX-0390,Adriatic Central Coast (Abruzzo),42.40477,14.34628,11.52,4,174.4,11.52,sandy,divergent,0.4995,0
TRX-0391,Outer Banks Transect,35.80429,-75.59738,6.5,10,379.3,7.0,gravel,divergent,0.8957,1
TRX-0392,Adriatic Central Coast (Abruzzo),42.38808,14.31323,8.17,7,366.0,10.01,sandy,transitional,0.9369,1
TRX-0393,California Central Coast,36.99397,-121.91807,9.54,5,29.5,13.82,sandy,convergent,0.2087,0
TRX-0394,Tyrrhenian Bay (Campania),40.87249,14.17829,3.83,13,200.5,9.76,sandy,transitional,0.5429,1
TRX-0395,Tyrrhenian Bay (Campania),40.86045,14.30243,8.03,25,318.4,5.09,riverbank,transitional,0.9376,1
TRX-0396,North Sea Barrier Island,53.53197,7.13446,11.64,13,178.0,13.09,gravel,transitional,0.5467,1
TRX-0397,Ligurian Littoral,44.37403,9.28903,10.74,10,404.1,6.37,dune,divergent,0.9866,1
TRX-0398,Outer Banks Transect,35.93722,-75.74665,11.03,5,69.3,4.57,dune,transitional,0.3587,0
TRX-0399,Tyrrhenian Bay (Campania),40.79141,14.33449,11.37,12,104.7,16.27,riverbank,convergent,0.4253,0
TRX-0400,North Sea Barrier Island,53.4083,7.10441,10.16,28,41.8,14.26,defence structure,transitional,0.6012,1
TRX-0401,Tyrrhenian Bay (Campania),40.7872,14.13021,1.95,24,252.2,16.87,sandy,transitional,0.5595,1
TRX-0402,Tyrrhenian Bay (Campania),40.97004,14.20534,6.07,20,283.8,13.51,sandy,transitional,0.804,1
TRX-0403,Outer Banks Transect,35.9376,-75.69941,4.46,26,108.6,14.12,gravel,divergent,0.5534,1
TRX-0404,Gold Coast Spit,-27.96115,153.37762,4.37,18,63.5,12.89,sandy,convergent,0.3806,0
TRX-0405,Ligurian Littoral,44.41739,9.10893,9.38,21,50.6,5.48,sandy,transitional,0.7455,1
TRX-0406,California Central Coast,37.03076,-122.13617,1.23,9,237.4,17.48,gravel,divergent,0.2397,0
TRX-0407,Outer Banks Transect,35.76775,-75.48257,7.7,28,136.4,10.54,gravel,transitional,0.5442,1
TRX-0408,Ligurian Littoral,44.37716,9.09211,2.66,19,399.5,13.07,defence structure,divergent,0.6923,1
TRX-0409,Gold Coast Spit,-27.81825,153.28213,9.71,8,45.1,9.3,sandy,convergent,0.3814,0
TRX-0410,Gold Coast Spit,-27.82463,153.53447,1.27,21,149.6,13.65,gravel,divergent,0.3077,0
TRX-0411,North Sea Barrier Island,53.52359,7.22105,5.21,13,166.1,12.99,riverbank,transitional,0.2812,0
TRX-0412,California Central Coast,36.90587,-121.93968,6.5,16,374.9,4.59,riverbank,transitional,0.9511,1
TRX-0413,Ionian Barrier Spit,39.37313,16.54304,3.27,6,82.9,12.33,riverbank,transitional,0.1353,0
TRX-0414,Tyrrhenian Bay (Campania),40.84445,14.25364,3.27,6,278.9,9.84,sandy,convergent,0.4574,0
TRX-0415,Ligurian Littoral,44.19042,9.20379,11.22,5,42.4,7.86,sandy,divergent,0.327,0
TRX-0416,Adriatic Central Coast (Abruzzo),42.46355,14.46839,10.41,3,106.6,12.38,gravel,transitional,0.2131,0
TRX-0417,Ionian Barrier Spit,39.59911,16.53025,10.1,27,327.0,12.6,gravel,convergent,0.9247,1
TRX-0418,Tyrrhenian Bay (Campania),40.76894,14.22564,2.07,7,229.1,16.32,dune,divergent,0.1718,0
TRX-0419,Tyrrhenian Bay (Campania),40.75323,14.38048,7.82,26,232.6,14.28,sandy,transitional,0.8537,1
TRX-0420,Adriatic Central Coast (Abruzzo),42.46909,14.48246,8.4,17,188.3,15.87,dune,transitional,0.5207,1
TRX-0421,Gold Coast Spit,-27.86313,153.38437,7.69,24,383.1,15.38,dune,transitional,0.9396,1
TRX-0422,Tyrrhenian Bay (Campania),40.78498,14.37303,5.58,7,22.2,14.17,sandy,transitional,0.2474,0
TRX-0423,Adriatic Central Coast (Abruzzo),42.31251,14.31163,10.21,14,164.9,6.51,dune,convergent,0.7247,1
TRX-0424,Outer Banks Transect,35.83356,-75.45246,5.45,7,185.3,14.69,gravel,transitional,0.2012,0
TRX-0425,Gold Coast Spit,-28.02387,153.362,4.83,23,179.3,6.29,riverbank,convergent,0.685,1
TRX-0426,Ligurian Littoral,44.18008,9.2025,10.0,26,240.2,13.56,dune,convergent,0.9233,1
TRX-0427,Adriatic Central Coast (Abruzzo),42.44131,14.49698,6.32,20,194.2,5.33,sandy,convergent,0.7768,1
TRX-0428,California Central Coast,36.98419,-122.0437,9.13,20,43.0,14.56,sandy,transitional,0.4571,0
TRX-0429,Adriatic Central Coast (Abruzzo),42.26051,14.44707,10.21,10,97.9,14.69,gravel,transitional,0.2299,0
TRX-0430,Outer Banks Transect,35.72178,-75.74991,2.64,9,331.9,9.09,gravel,transitional,0.4221,0
TRX-0431,Adriatic Central Coast (Abruzzo),42.42108,14.27059,1.85,10,310.5,11.77,dune,transitional,0.5369,1
TRX-0432,Ionian Barrier Spit,39.48643,16.47119,0.85,6,182.9,5.88,sandy,convergent,0.2428,0
TRX-0433,Tyrrhenian Bay (Campania),40.94088,14.39701,11.05,27,337.4,7.75,gravel,transitional,0.9728,1
TRX-0434,Outer Banks Transect,35.93837,-75.61235,6.19,19,364.8,10.77,sandy,transitional,0.8814,1
TRX-0435,Ionian Barrier Spit,39.55307,16.41898,4.49,12,226.6,4.63,riverbank,convergent,0.6781,1
TRX-0436,Outer Banks Transect,35.67281,-75.47058,6.38,12,107.4,11.96,sandy,divergent,0.4698,0
TRX-0437,Ionian Barrier Spit,39.4997,16.4099,9.4,28,126.2,7.48,riverbank,divergent,0.7609,1
TRX-0438,Tyrrhenian Bay (Campania),40.97606,14.31274,8.56,20,22.6,15.64,defence structure,divergent,0.4023,0
TRX-0439,Outer Banks Transect,35.8362,-75.6023,12.33,19,367.5,10.88,defence structure,divergent,0.9797,1
TRX-0440,Ligurian Littoral,44.16624,9.28978,6.4,18,33.0,9.01,riverbank,divergent,0.5013,1
TRX-0441,Gold Coast Spit,-27.80705,153.47947,6.18,23,23.4,13.26,sandy,convergent,0.2579,0
TRX-0442,Ligurian Littoral,44.31457,9.12114,6.31,20,157.2,6.89,gravel,transitional,0.7127,1
TRX-0443,Outer Banks Transect,35.75952,-75.62982,6.07,19,72.5,11.99,sandy,convergent,0.3701,0
TRX-0444,California Central Coast,37.05689,-122.14118,10.16,24,79.8,14.97,sandy,transitional,0.6466,1
TRX-0445,Outer Banks Transect,35.8856,-75.65999,7.38,19,39.1,5.79,sandy,convergent,0.485,0
TRX-0446,Tyrrhenian Bay (Campania),40.83496,14.2104,5.02,18,243.0,15.03,sandy,transitional,0.7275,1
TRX-0447,Outer Banks Transect,35.91021,-75.46107,3.13,19,279.9,11.5,defence structure,convergent,0.4395,0
TRX-0448,Gold Coast Spit,-27.83311,153.38432,4.15,21,402.6,15.79,dune,divergent,0.8668,1
TRX-0449,California Central Coast,36.98938,-122.02851,10.73,3,51.6,8.97,sandy,transitional,0.2977,0
TRX-0450,California Central Coast,36.88137,-122.06653,10.89,12,319.2,11.27,gravel,convergent,0.8251,1
TRX-0451,Adriatic Central Coast (Abruzzo),42.23751,14.32039,3.74,24,300.3,5.54,sandy,convergent,0.8933,1
TRX-0452,Adriatic Central Coast (Abruzzo),42.20791,14.3691,9.75,3,61.6,12.54,sandy,divergent,0.341,0
TRX-0453,California Central Coast,36.89281,-122.12578,4.12,21,70.6,11.35,sandy,convergent,0.2591,0
TRX-0454,Gold Coast Spit,-27.95984,153.53127,11.74,18,197.9,17.1,dune,convergent,0.7938,1
TRX-0455,Gold Coast Spit,-27.91069,153.46076,7.4,17,275.9,11.44,defence structure,transitional,0.7079,1
TRX-0456,North Sea Barrier Island,53.45973,7.12794,4.35,1,229.3,14.36,sandy,convergent,0.2575,0
TRX-0457,Adriatic Central Coast (Abruzzo),42.40633,14.39758,9.64,10,23.7,10.1,sandy,convergent,0.3807,0
TRX-0458,California Central Coast,37.06465,-122.06887,3.72,23,314.8,9.57,sandy,convergent,0.7635,1
TRX-0459,California Central Coast,36.9876,-122.04502,10.16,20,343.0,13.4,sandy,divergent,0.9637,1
TRX-0460,Tyrrhenian Bay (Campania),40.75472,14.19688,8.25,20,201.1,13.61,gravel,transitional,0.5296,1
TRX-0461,Ligurian Littoral,44.16489,9.21049,2.98,4,132.8,6.13,gravel,convergent,0.2013,0
TRX-0462,Ionian Barrier Spit,39.45257,16.44347,10.15,12,205.5,14.79,sandy,divergent,0.6592,1
TRX-0463,Ligurian Littoral,44.16681,9.2827,1.64,16,92.6,16.14,sandy,transitional,0.4111,0
TRX-0464,Ionian Barrier Spit,39.46544,16.64249,3.69,2,99.7,14.06,sandy,transitional,0.1492,0
TRX-0465,Ionian Barrier Spit,39.49185,16.55443,4.45,11,83.4,13.97,dune,transitional,0.304,0
TRX-0466,North Sea Barrier Island,53.40962,7.31626,10.9,7,409.3,7.57,gravel,convergent,0.9718,1
TRX-0467,North Sea Barrier Island,53.52541,7.16874,3.64,2,252.4,13.48,dune,convergent,0.2854,0
TRX-0468,Gold Coast Spit,-28.07258,153.45559,11.69,25,270.1,5.28,dune,divergent,0.9659,1
TRX-0469,Tyrrhenian Bay (Campania),40.73775,14.1798,12.29,26,277.9,9.02,riverbank,divergent,0.98,1
TRX-0470,Ligurian Littoral,44.22521,9.06185,9.07,18,137.9,13.56,sandy,convergent,0.5324,1
TRX-0471,Outer Banks Transect,35.7471,-75.60948,10.95,20,385.8,11.71,sandy,convergent,0.9774,1
TRX-0472,Outer Banks Transect,35.78622,-75.51722,6.72,24,94.2,4.74,riverbank,divergent,0.7685,1
TRX-0473,Ionian Barrier Spit,39.44621,16.369,12.12,27,175.0,11.31,gravel,transitional,0.7546,1
TRX-0474,Outer Banks Transect,35.68314,-75.59304,1.58,27,395.1,6.82,sandy,convergent,0.8423,1
TRX-0475,Ionian Barrier Spit,39.37963,16.5213,10.58,22,216.0,12.61,dune,convergent,0.8263,1
TRX-0476,Adriatic Central Coast (Abruzzo),42.47906,14.31262,6.55,27,52.0,14.91,sandy,transitional,0.6188,1
TRX-0477,California Central Coast,37.04661,-121.96173,1.48,20,126.3,5.03,sandy,transitional,0.7081,1
TRX-0478,Tyrrhenian Bay (Campania),40.73037,14.17931,5.31,7,230.5,7.73,dune,convergent,0.4218,0
TRX-0479,California Central Coast,37.02383,-121.97011,7.55,22,203.5,13.15,riverbank,convergent,0.6934,1
TRX-0480,Outer Banks Transect,35.84726,-75.58983,7.82,12,381.0,11.65,defence structure,divergent,0.8974,1
